,Title,1_Similar,2_Similar,3_Similar,4_Similar,5_Similar,6_Similar
730,"Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'"
731,"Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'"
732,Unnao Gangrape: FIR registered against BJP MLA Kuldeep Singh Sengar,"Unnao Gangrape: What is in the three reports of SIT, DIG Jail and DM?",Unnao Gangrape: CBI will decide over Kuldeep Singh Sengar's arrest,Case to be registered against BJP MLA Kuldeep Sengar after SIT probe ,Kuldeep Singh Sengar must be arrested immediately after FIR register under POCSO Act,Unnao Rape Case: CBI to decide Kuldeep Sengar's arrest even after FIR registered under POCSO act,Unnao Gangrape: FIR registered against woman named Shashi Singh too
733,"Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'"
734,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Senger,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Senger,"Unnao rape episode: 'Case has been given to CBI, agency will decide on arrest,' says DGP","Unnao rape episode: 'Case has been given to CBI, agency will decide on arrest,' says UP DGP"
735,GROUND REPORT from Kuldeep Sengar's village Makhi: Residents are too scared to talk,Unnao Gangrape: FIR registered against woman named Shashi Singh too,Kuldeep Singh Sengar must be arrested immediately after FIR register under POCSO Act,"I am in Lucknow and ready for arrest, says accused BJP MLA Kuldeep Sengar",Rape accused BJP MLA Kuldeep Senagr's terror in Unnao's village Makhi,Unnao Gangrape: When BJP MLA Kuldeep Singh Sengar faked his surrender,"SHAMEFUL statement by BJP MLA Surendra Singh, says 'Who rapes a mother of three'"
736,In Pics: This is how Algerian military flight turned into the worst air disaster,"In Pictures: ""Go Back Modi,"" Cry Reigns High, Black Flag Stir Across TN",Algeria: 257 people killed in a deadly plane crash ,100 soldiers killed in Algeria plane crash ,In Pics: Bangladesh witnesses decade's biggest protest staged by students,27 Taliban militants killed in Afghanistan,VIDEO: Instagram star documents her last ride before a deadly plane crash
737,"Modi’s ‘fast’ over parliament disruption, ‘farce’ for Congress",Congress terms PM Modi's decision to hold fast 'farce',"Congress questions PM's 'silence' over Unnao rape case, says time to repent, not to indulge in theatrics",PM to party leaders: Observe fast tomorrow to expose Opposition,Rajdharma: BJP govt. contradicting itself with fast against Parliament disruption,PM Modi to observe fast on Thursday to protest Parliament washout,PM Narendra Modi to observe day-long fast on April 12 against Parliament disruption
738,Salman Khan's Hum Saath Saath Hain co-actor threatened by Bishnoi Community,Here's what Salman Khan tweeted after getting bail,"Salman Returns home, Writes Emotional Message For Fans",Watch Salman Khan spend time with children in Mumbai,Saas Bahu Aur Saazish: Salman Khan caught in a new look ,Actors Richa Chadha and Ali Fazal give cute couple goals,Rishta Likhenge Hum Naya: Diya answers people questioning Ratan for not completing his project  
739,Samajwadi Party to support BSP candidate in upcoming Legislative Council elections: Akhilesh Yadav,Samajwadi Party to support BSP candidate in upcoming Legislative Council elections: Akhilesh Yadav,"Mulayam backs son Akhilesh's decision, hails SP-BSP alliance",SP to support BSP candidate in UP Legislative Council elections,Congress' 1st list for Karnataka assembly polls likely on Friday,Congress' 1st list for Karnataka assembly polls likely on Friday,"Congress, CPI-M have ganged up with BJP for panchayat polls: Mamata"
740,Girl set ablaze for resisting molestation,Woman set on fire by husband over family dispute,Girl sets self on fire over continuous sexual harassment,Unnao rape: FIR registered against accused BJP MLA,Unnao rape: SIT to send report by today evening,Bihar: Public protests against rape of 6-yr-old,Unnao gangrape case: SIT finds police negligence in the death of victim's father
741,"Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'"
742,"Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'"
743,Check bieap.gov.in & manabadi.com for AP Board Class 12 (Inter) Result 2018: Andhra Pradesh Intermediate 2nd Year result to be out today,Check bieap.gov.in & manabadi.com for AP Board Class 12 (Inter) Result 2018: Andhra Pradesh Intermediate 2nd Year result to be out today,AP Board Class 12 (Inter) Result 2018: Andhra Pradesh Intermediate 2nd Year results will be declared tomorrow on bieap.gov.in and manabadi.com,Andhra Pradesh Class 12 Results: AP Board inter (2nd year) results to be declared on bieap.gov.in and manabadi.com,AP Board Class 12 (Inter) Result 2018: Andhra Pradesh Intermediate 2nd Year results will be declared tomorrow on bieap.gov.in and manabadi.com,AP Board Class 12 (Inter) Result 2018: Andhra Pradesh Intermediate 2nd Year results will be declared tomorrow on bieap.gov.in and manabadi.com,Andhra Pradesh AP Board Class 12 Result 2018: AP Intermediate 2nd Year results tomorrow on bieap.gov.in and manabadi.com
744,Check bieap.gov.in & manabadi.com for AP Board Class 12 (Inter) Result 2018: Andhra Pradesh Intermediate 2nd Year result to be declared shortly,Check bieap.gov.in & manabadi.com for AP Board Class 12 (Inter) Result 2018: Andhra Pradesh Intermediate 2nd Year result to be out today,AP Board Class 12 (Inter) Result 2018: Andhra Pradesh Intermediate 2nd Year results will be declared tomorrow on bieap.gov.in and manabadi.com,Andhra Pradesh Class 12 Results: AP Board inter (2nd year) results to be declared on bieap.gov.in and manabadi.com,AP Board Class 12 (Inter) Result 2018: Andhra Pradesh Intermediate 2nd Year results will be declared tomorrow on bieap.gov.in and manabadi.com,AP Board Class 12 (Inter) Result 2018: Andhra Pradesh Intermediate 2nd Year results will be declared tomorrow on bieap.gov.in and manabadi.com,Andhra Pradesh AP Board Class 12 Result 2018: AP Intermediate 2nd Year results tomorrow on bieap.gov.in and manabadi.com
745,"Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'"
746,PM Modi to inaugurate 10th edition of Defence Expo,PM to party leaders: Observe fast tomorrow to expose Opposition,"DefExpo 2018: PM aims to transform defence production, procurement",Congress terms PM Modi's decision to hold fast 'farce',PM Modi arrives in Chennai amid black flag protests,Rajdharma: BJP govt. contradicting itself with fast against Parliament disruption,Twarit: PM Modi to observe fast on April 12 over Parliament disruption
747,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Senger,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Senger,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,"Unnao rape episode: 'Case has been given to CBI, agency will decide on arrest,' says DGP","Unnao rape episode: 'Case has been given to CBI, agency will decide on arrest,' says UP DGP"
748,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Senger,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Senger,"Unnao rape episode: 'Case has been given to CBI, agency will decide on arrest,' says DGP","Unnao rape episode: 'Case has been given to CBI, agency will decide on arrest,' says UP DGP"
749,Samajwadi Party to support BSP candidate in upcoming Legislative Council elections: Akhilesh Yadav,Samajwadi Party to support BSP candidate in upcoming Legislative Council elections: Akhilesh Yadav,"Mulayam backs son Akhilesh's decision, hails SP-BSP alliance",SP to support BSP candidate in UP Legislative Council elections,Congress' 1st list for Karnataka assembly polls likely on Friday,Congress' 1st list for Karnataka assembly polls likely on Friday,"Congress, CPI-M have ganged up with BJP for panchayat polls: Mamata"
750,"Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'"
751,Unnao Rape Case: FIR registered against BJP MLA Kuldeep Singh Senger POCSO Act,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Senger,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Senger,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,"Unnao rape episode: 'Case has been given to CBI, agency will decide on arrest,' says DGP"
